,location,google_results
0,"Paris, France - Part III",1870000000
1,"Incheon, Republic of KoreaA",6070000
2,"Windsor, ON, Canada",202000000
3,"Incheon, Republic of Korea",6070000
4,"Niagara Falls, NY, USA - PhD Forum",945000
5,"Mountain View, CA",1870000000
6,"London, UK - Supplement",144000000
7,"Helsinki, Finland - EI&I Track",84300
8,"Perth, Western Australia, Australia",189000000
9,"Cologne, Germany - Workshops",40000000
10,"Como, Italy - Posters",1030000000
11,"Austin, TX, USA - Satellite Events",18900000
12,"Luton, UK",37400000
13,"Fort Worth, TX",591000000
14,"Prague, Czech Republic - Communication Papers",21700000
15,"Prague, Czech Republic - Position Papers",12400000
16,"Perth, Canada - Companion Volume",1300000
17,"Santa Rosa, CA, USA",282000000
18,"Santa Rosa, CA, USA - Workshops",126000000
19,"Edinburgh, UK - Companion Publication",4430000
20,"Madrid, Spain - Revised Selected Papers",4800000
21,"Limassol, Cyprus, USA - Companion",507000
22,"Newport, RI, USA",27200000
23,"New Orleans, LA, USA - Workshops",48300000
24,"Las Vegas, NV, USA - Posters & Demos",31900000
25,"Suzhou, China - Volume 2",8730000
26,"Lisbon, Portugal - Workshops",34100000
27,"Displaying, Processing, Hardcopy, and Applications 2017",1290000
28,"Suzhou, China - Volume 1",6960000
29,"Braunschweig, Germany - Workshops",16900000
30,"Perth, Australia / Lyon, France",32600000
31,"Bangalore, India - Extended Selected Papers",33700000
32,"Seattle, WA, USA - Companion",29700000
33,"Copenhagen, Denmark - Companion Proceedings",3000000
34,"Seville, Spain / Vienna, Austria",5760000
35,"Thessaloniki, Greece (Part of ETAPS 2018)",33900
36,"Gothenburg, Sweden - Software Engineering in Society Track",200000
37,"Gothenburg, Sweden - Companion Volume",130000
38,"Exeter, United Kingdom",57900000
39,"Limassol, Cyprus - Posters and Demos",603000
40,"Chicago, IL, USA - Companion",59200000
41,"Delft, The Netherlands - Tutorials",697000
42,"Krakow, Poland - Workshops",7280000
43,"Cholula, Mexico",17800000
44,"Kuantan, Malaysia",16500000
45,"Cardiff, Wales, UK",107000000
46,"Munich, Germany - Volume 12",80800000
47,"Munich, Germany - Volume 13",77300000
48,"Displaying, Processing, Hardcopy, and Applications 2018",1380000
49,"Munich, Germany - Volume 14",66900000
50,"Munich, Germany - Volume 15",59500000
51,"Munich, Germany - Volume 16",64300000
52,"Munich, Germany - Volume 2",68600000
53,"Brussels, Belgium - Shared Task",9370000
54,"Munich, Germany - Volume 3",54300000
55,"Munich, Germany - Volume 4",73400000
56,"Munich, Germany - Volume 5",58800000
57,"Munich, Germany - Volume 11",70900000
58,"Munich, Germany - Volume 1",62000000
59,"Lowell, MA, USA",68600000
60,"Munich, Germany - Volume 10",69700000
61,"Trujillo, Peru",66200000
62,"Munich, Germany - Volume 6",67700000
63,"Toledo, Spain - Workshops",14700000
64,"Munich, Germany - Volume 7",54900000
65,"Munich, Germany - Volume 8",61700000
66,"Munich, Germany - Volume 9",46200000
67,"Cáceres, Spain - Workshops",1020000
68,"Funchal, Portugal - Volume 2",4320000
69,"Funchal, Portugal - Revised Selected Papers",396000
70,"Image Perception, Observer Performance, and Technology Assessment 2018",10400000
71,"Hong Kong, SAR, China",418000000
72,"Gandhinagar, India - Working Notes",1240000
73,"Biomedical Applications in Molecular, Structural, and Functional Imaging 2018",44800000
74,"Guadalajara, Mexico - Volume 1",19800000
75,"Blacksburg, VA, USA",12900000
76,"Funchal, Portugal - Volume 1",5960000
77,"Guadalajara, Mexico - Volume 2",31500000
78,"Santa Fe, New Mexico, USA - Tutorials",10200000
79,"Santa Fe, New Mexico, USA - Demos",150000000
80,"Torino, Italy - Workshops",22800000
81,"Kyiv, Ukraine - Workshops",2410000
82,"Boston, MA, USA - Volume 2",461000000
83,"Boston, MA, USA - Volume 1",163000000
84,"Bologna, Italy",243000000
85,"Rosario, Orcas Island, Washington",9230000
86,"Melbourne, Victoria, Australia",393000000
87,"Santa Cruz, CA, USA",231000000
88,"Tallinn, Estonia",102000000
89,"Maastricht, The Netherlands",63400000
90,"Edinburgh, Scotland",201000000
91,"Gramado, Brazil",12100000
92," Montréal, Canada",212000000
93," Utrecht, The Netherlands",139000000
94,"Ascona, Switzerland",2690000
95,"Catania, Italy",63700000
96," Madras, India",83600000
97," Stockholm, Sweden - Volume 2",90800000
98,"Stockholm, Sweden - Volume 1",66800000
99," Lake Buena Vista, FL, USA",6890000
100,"Funchal, Madeira Island, Portugal",6220000
101," Zurich, Switzerland",248000000
102,"Cancún, Mexico",199000000
103," Prague, Czech Republic",175000000
104,"Hsinchu, Taiwan",12200000
105,"Zurich, Switzerland",248000000
106,"Gaithersburg, Maryland",19300000
107,"Newark, NJ, USA",49500000
108,"Leuven, Belgium",49300000
109," Toronto, Ontario, Canada - Volume 1",272000000
110," Toronto, Ontario, Canada - Volume 2",278000000
111," Toronto, Ontario, Canada - Volume 3",223000000
112," Roskilde University, Denmark",7220000
113,"Yokohama, Japan",168000000
114,"Minneapolis, Minnesota",196000000
115,"Guildford, U.K.",28400000
116," Herrsching, Germany",554000
117," Rimini, Italy",44700000
118,"Ottawa, Canada",272000000
119,"Plainsboro, New Jerey, USA",413000
120," Caen, France",124000000
121," Maui, Hawaii, USA - Volume 2",31000000
122," Klagenfurt, Austria",29700000
123," Monterey, CA, USA",79500000
124," Maui, Hawaii, USA - Volume 1",19800000
125,"San Antonio, TX, USA",600000000
126," Valletta, Malta",29900000
127,"Rutgers University, NJ, USA",32000000
128," Maui, Hawaii, USA - Volume 3",20700000
129," Orlando, FL, USA",537000000
130,"Marina Del Rey, California, USA",29300000
131,"Chantilly, France",31100000
132,"Chapel Hill, NC, USA",76900000
133," Bari, Italy",117000000
134,"Pensacola, Florida, USA",50100000
135,"Valencia, Spain",323000000
136,"North Carolina State University, NC, USA - Volume 3",31100000
137,"North Carolina State University, NC, USA - Volume 2",32900000
138,"Salt Lake City, UT, USA",69400000
139,"Madras, India",83600000
140,"Bordeaux, France",391000000
141,"North Carolina State University, NC, USA - Volume 1",44400000
142," Maui, Hawaii, USA - Volume 4",11700000
143,"Reinhardsbrunn Castle, Germany",154000
144," Santa Margherita Ligure, Italy",13500000
145,"Barcelona, Spain",843000000
146,"Sorrento, Italy - Workshop on SE-HCI",6450000
147,"Alexandria, Virginia, USA",138000000
148,"Victoria, BC, Canada",476000000
149," Manchester, U.K.",840000000
150," Christchurch, New Zealand",50200000
151,"Williamsburg, VA, USA",12900000
152,"Alicante, Spain",133000000
153," Dana Point, California, USA",55000000
154,"Santa Margherita Ligure, Italy",13500000
155,"Glasgow, UK",183000000
156,Saarbrücken,45000000
157," Maui, Hawaii, USA - Volume 5",13200000
158,"Eindhoven, The Netherlands",46500000
159,"Berkeley, CA, USA",156000000
160," Aizu, Japan",5720000
161," Glasgow, Scotland, UK",204000000
162,"Brest, France",113000000
163,"Xi'an, China",509000000
164,"Makuhari, Massa, Chiba, Japan",78300
165," Jyväskylä, Finland",22700000
166," Bond University, Gold Coast, Queensland, Australia",4710000
167,"Pathumthani, Tailand",7900000
168,"Prague, Czech Republic",175000000
169,"Brighton, England, UK",175000000
170,"Los Angeles, CA, USA - Visual Proceedings",9970000
171,"Savannah, Georgia, USA",116000000
172, Heidelberg,164000000
173,"York, England",1520000000
174,Dresden,167000000
175," Gaithersburg, MD, USA",19600000
176,"Saint-Malo, France",72200000
177,"Frankfurt/Main, Germany",258000000
178,"Bath, England, UK",260000000
179,"Strasbourg, France",123000000
180,Singapore,1340000000
181,"Campinas, Brazil",64400000
182,"Adelaide, Australia",287000000
183,"San Diego, California, USA - Hands on",417000000
184,"San Diego, California, USA - Multimedia Computing and Museums",38100000
185,"Lake Placid, New York, USA",3230000
186," Glasgow, UK",192000000
187," Szeged, Hungary",19600000
188," Skövde, Sweden",7010000
189,"Lausanne, Switzerland",76400000
190," Durham, New Hampshire, USA",41100000
191,"Chapel Hill, North Carolina, USA",140000000
192," Maastricht, The Netherlands",51800000
193,Chemnitz,62900000
194,"Rockville, Maryland, USA",50000000
195,"Huddersfield, UK",40800000
196,"Fort Lauderdale, Florida, USA",142000000
197,"Montreal, Quebec, Canada",373000000
198," Innsbruck, Austria",55000000
199,"Toronto, ON, Canada",622000000
200," Corfu, Greece",26600000
201,"La Jolla, California",61200000
202," Santa Cruz, California, USA",296000000
203,"Taoyuan, Taiwan",17500000
204,"Taoyuan, Taiwan - Full Papers",2860000
205,"Birmingham, UK",417000000
206,"Quebec, Canada",377000000
207,"Philadephia, PA, USA",485000000
208," Friedrichshafen, Germany",17600000
209,"Columbia, Maryland, USA",452000000
210," Nashville, TN, USA",140000000
211,"Santa Cruz, California, USA",296000000
212," Monterey, California, USA",96800000
213,"Marburg, Germany",29200000
214," Montpellier, France",105000000
215,"Fukuoka, Japan",44100000
216," Magdeburg, Germany",30300000
217,"Montréal, Québec, Canada - Fuzzy Logic in Artificial Intelligence",525000
218,"Perth, WA, Australia",175000000
219," Santa Barbara, California, USA",248000000
220,"Regensburg, Germany",42400000
221,"Orcas Island, Washington, USA",3640000
222,"Limassol, Cyprus",31600000
223," Ann Arbor, MI, USA",187000000
224,"Cairns, Australia",55500000
225,"Bielefeld, Germany",55300000
226," Arlington, VA, USA",84600000
227,Firenze,187000000
228,"Canberra, ACT, Australia",101000000
229,"Blue Mountain Lake, New York, USA",123000000
230,"Montréal, Québec, Canada - Learning for Natural Language Processing",7380000
231," Bad Neuenahr, Germany",5700000
232," Barcelona, Spain and2nd Virtual Environments 1995",517000
233," Konstanz, Germany",70300000
234,"Portland, Maine",164000000
235,"Saint Malo, France",72000000
236,"Florence, Italy",223000000
237,"Fribourg, Switzerland",25300000
238," Portland, Oregon, USA",361000000
239,"Torremolinos, Spain",14600000
240,"Montréal, Québec, Canada - Adaption and Learning in Multi-Agent Systems",4400000
241," Adelaide, Australia",287000000
242,"Nagoya, Aichi, Japan",17100000
243,"Bloomington, IN, USA",63200000
244,"Granada, Spain",147000000
