,Place
conf/crypto/1999,None
conf/adaptive/2007,None
conf/mobicom/2002wsna,None
conf/crypto/1996,None
conf/crypto/1997,None
conf/ac/2003ml,None
conf/sigcomm/2012mcc,None
conf/crypto/1998,None
conf/crypto/1991,None
conf/pods/2002,None
conf/crypto/1993,None
conf/kdd/2005link,None
conf/stoc/STOC20,None
conf/banff/1995,None
conf/sigcomm/2009wosn,None
conf/cloud/2010,None
conf/stoc/STOC19,None
conf/crypto/1989,None
conf/ac/1996petri1,None
conf/icse/2007fose,None
conf/crypto/1994,None
conf/ccs/2009ccsw,None
conf/ccs/2011spsm,None
conf/kdd/1999,None
conf/bmvc/1988,None
conf/popl/1999,None
conf/semweb/2004swswpc,None
conf/huc/2006,None
conf/fse/1997,None
conf/ecml/1998,None
conf/crypto/1992,None
conf/mobicom/2004vanet,None
conf/popl/1989,None
conf/icse/2000future,None
conf/dagstuhl/2009adaptive,None
conf/hybrid/1992,None
conf/fse/1996,None
conf/mas/1998,None
conf/sigcomm/2012hotsdn,None
conf/popl/1997,None
conf/ccs/2004ccs,None
conf/crypto/1995,None
conf/stoc/STOC21,None
conf/IEEEpact/2008,None
conf/maamaw/1996,None
conf/podc/1987,None
conf/huc/2001,None
conf/kdd/2009sna,None
conf/crypto/1985,None
conf/chi/1999,None
conf/ih/1998,None
conf/mss/2010,None
conf/recsys/2016dlrs,None
conf/stoc/STOC22,None
conf/chi/1997,None
conf/popl/1987,None
conf/popl/1998,None
conf/sosp/1997,None
conf/fse/1999,None
conf/chi/1995,None
conf/fse/1994,None
conf/focs/FOCS27,None
conf/popl/1995,None
conf/gis/1992,None
conf/popl/1996,None
conf/cav/1997,None
conf/popl/1990,None
conf/crypto/1988,None
conf/popl/1988,None
conf/semweb/2003,None
conf/semweb/2007,None
conf/bpm/2000,None
conf/cav/1999,None
conf/ih/1996,None
conf/isca/2013hasp,None
conf/crypto/1986,None
conf/ssd/2001,None
conf/semweb/2004,None
conf/huc/2008,None
conf/ih/2001,None
conf/dagstuhl/2008moo,None
conf/tacas/1999,None
conf/huc/2010,None
conf/kdd/1999web,None
conf/asiacrypt/1998,None
conf/ssd/2005,None
conf/ac/1986petri2,None
conf/esop/1998,None
conf/crypto/1987,None
conf/cav/1993,None
conf/huc/2003,None
conf/fortest/2008,None
conf/huc/2004,None
conf/popl/1985,None
conf/cav/1998,None
conf/cav/1996,None
conf/rex/1991,None
conf/icse/2014fose,None
conf/focs/FOCS35,None
conf/stoc/STOC18,None
conf/ccs/2012spsm,None
conf/tacas/1998,None
conf/semweb/2011-1,None
conf/focs/FOCS26,None
conf/rex/1988,None
conf/si3d/1997,None
conf/popl/1992,None
conf/sigcomm/2013hotsdn,None
conf/cav/1994,None
conf/mm/2013avec,None
conf/dimacs/dimacs27,None
conf/stoc/STOC23,None
conf/ccs/2002drm,None
conf/ismar/1999,None
conf/dagstuhl/2010adaptive,None
conf/pldi/1998,None
conf/pet/2011,None
conf/huc/2007,None
conf/crypto/1990,None
conf/pet/2010,None
conf/tacas/1995,None
conf/sosp/1999,None
conf/gis/2010lbsn,None
conf/agentlink/2001,None
conf/huc/2005,None
conf/esws/2006,None
conf/acmidc/2005,None
conf/ecoop/1998,None
conf/focs/FOCS28,None
conf/asplos/2010gpgpu,None
conf/semweb/2006,None
conf/tacas/1996,None
conf/asplos/2009gpgpu,None
conf/semweb/2005,None
conf/huc/2002,None
conf/popl/1993,None
conf/cloud/2011,None
conf/huc/2009,None
conf/ac/2003pn,None
conf/fodo/1993,None
conf/focs/FOCS29,None
conf/cosit/1999,None
conf/mobicom/2006vanet,None
conf/mm/1996,None
conf/ecaiw/1994,None
conf/isca/1995,None
conf/semweb/2014-1,None
conf/stoc/STOC25,None
conf/popl/1994,None
conf/eps/1998,None
conf/dagstuhl/1996oa,None
conf/ccs/2010ccsw,None
conf/java/1999formal,None
conf/cloud/2012,None
conf/sosp/1991,None
conf/popl/1991,None
conf/pldi/1991,None
conf/caivd/1998,None
conf/popl/1986,None
conf/focs/FOCS30,None
conf/pldi/1988,None
conf/uml/2002,None
conf/sigir/2005,None
conf/sigmod/2007,None
conf/eccv/2000-2,None
conf/eccv/2012-2,None
conf/pet/2009,None
conf/sigmod/86,None
conf/tacas/2011,None
conf/ih/2002,None
conf/uist/1997,None
conf/soups/2008,None
conf/sigmod/2009,None
conf/sensys/2010buildsys,None
conf/mobisys/2012,None
conf/ipsn/2003,None
conf/aose/2003,None
conf/esws/2004,None
conf/ismar/2007,None
conf/stacs/1999,None
conf/dagstuhl/2004na,None
conf/sigsoft/2006,None
conf/isca/2001,None
conf/jsspp/2001,None
conf/uml/2001,None
conf/asiacrypt/2014,None
conf/kdd/2013,None
conf/etra/2002,None
conf/mobicom/2006wuwnet,None
conf/asplos/1996,None
conf/sigmod/95,None
conf/sensys/2005,None
conf/spieSR/1993,None
conf/scn/2004,None
conf/sensys/2006,None
conf/ih/2011,None
conf/patat/1995,None
conf/fc/2009,None
conf/lak/2012,None
conf/concur/2000,None
conf/oopsla/2002,None
conf/chi/1992,None
conf/lak/2011,None
conf/eurocrypt/92,None
conf/ppopp/2008,None
conf/uist/2008,None
conf/asiacrypt/2014-1,None
conf/cosit/95,None
conf/apn/2005,None
conf/spc/2003,None
conf/sc/2011,None
conf/sns/2009,None
conf/sas/2005,None
conf/huc/2013,None
conf/icdm/2008,None
conf/movep/2000,None
conf/cscw/2014,None
conf/huc/2015,None
conf/chi/1998,None
conf/csfw/2001,None
conf/mpc/2000,None
conf/icalp/2008-2,None
conf/fc/2000,None
conf/stoc/STOC17,None
conf/asiacrypt/1996,None
conf/esws/2005,None
conf/ACMdis/2006,None
conf/pkc/2014,None
conf/isca/2014,None
conf/icde/95,None
conf/esmart/2001,None
conf/recsys/2011,None
conf/issta/2009,None
conf/fca/2005,None
conf/crypto/2014-2,None
conf/stoc/2007,None
conf/eurogp/2000,None
conf/dim/2006,None
conf/sacmat/2008,None
conf/mobisys/2006,None
conf/sigecom/2001,None
conf/dagstuhl/TDB97,None
conf/ecoop/2005,None
conf/nspw/1998,None
conf/scie/1997,None
conf/lak/2013,None
conf/ctrsa/2008,None
conf/sigmetrics/2009,None
conf/sigcomm/2013,None
conf/popl/2006,None
conf/esop/2009,None
conf/cade/2006,None
conf/fse/1993,None
conf/fpca/1989,None
conf/tacas/2009,None
conf/ppsn/1998,None
conf/micro/2010,None
conf/uist/2015,None
conf/eccv/2014-6,None
conf/provsec/2007,None
conf/fosad/2009,None
conf/pods/00,None
conf/vmcai/2006,None
conf/dimacs/dimacs26,None
conf/pkc/2000,None
conf/edbt/98,None
conf/imc/2012,None
conf/icde/2002,None
conf/chi/1996,None
conf/dl/2000,None
conf/ctrsa/2010,None
conf/ssd/89,None
conf/sfm/2011,None
conf/pkc/2012,None
conf/tacas/2000,None
conf/middleware/2003,None
conf/spatialCognition/1998,None
conf/cvpr/2008,None
conf/vizsec/2004,None
conf/aose/2004,None
conf/hybrid/2004,None
conf/mmsys/2011,None
conf/nspw/1997,None
conf/mobicom/2012,None
conf/semweb/2012-1,None
conf/cvpr/2005,None
conf/sacmat/2002,None
conf/oopsla/2013,None
conf/cvpr/2007,None
conf/tacas/2007,None
conf/crypto/2016-1,None
conf/focs/2010,None
conf/csfw/2010,None
conf/sacrypt/1999,None
conf/concur/1990,None
conf/eccv/2014-3,None
conf/hpca/2011,None
conf/stoc/2006,None
conf/mobicom/2011,None
conf/spw/1996,None
conf/npar/2002,None
conf/wmcsa/2012,None
conf/ppopp/2006,None
conf/pldi/1994,None
conf/acmicn/2011,None
conf/iticse/2014wgr,None
conf/stoc/2013,None
conf/dimacs/dimacs16,None
conf/fse/2001,None
conf/scn/2006,None
conf/eef/2000,None
conf/mobicom/2007,None
conf/dimacs/dimacs20,None
conf/hybrid/2000,None
conf/semweb/2013-2,None
conf/laser/2010,None
conf/ccs/2011ccsw,None
conf/stoc/STOC27,None
conf/fse/2010,None
conf/eccv/2012-6,None
conf/iptps/2005,None
conf/eurogp/1998,None
conf/aosd/2004,None
conf/iccbr/1998,None
conf/pldi/1999,None
conf/lop/1985,None
conf/icse/2007,None
conf/stoc/2011,None
conf/uist/2006,None
conf/fc/2013,None
conf/ecoop/1991,None
conf/popl/2007,None
conf/iui/2001,None
conf/sacrypt/2001,None
conf/sc/2010,None
conf/sp/2016,None
conf/sfm/2008,None
conf/icse/2008,None
conf/iccv/2005,None
conf/sas/2006,None
conf/stoc/STOC26,None
conf/ctrsa/2012,None
conf/uist/2002,None
conf/podc/2003,None
conf/sfm/2009,None
conf/mlss/2002,None
conf/iccv/2013,None
conf/esorics/2003,None
conf/sigecom/2006,None
conf/apn/1997,None
conf/lpar/2010d,None
conf/mobicom/2005vanet,None
conf/sigmod/2012,None
conf/cosn/2013,None
conf/sdm/2001,None
conf/stoc/2010,None
conf/ccs/2006stc,None
conf/ches/2013,None
conf/sigsoft/2008,None
conf/parle/1987-2,None
conf/fmsp/1998,None
conf/cscw/2013,None
conf/aose/2002,None
conf/acns/2007,None
conf/recsys/2007,None
conf/eccv/2002-3,None
conf/mobicom/2007vanet,None
conf/lfp/1990,None
conf/sp/2000,None
conf/concur/2007,None
conf/ccs/2010asia,None
conf/rex/1993,None
conf/pldi/1993,None
conf/issta/2006,None
conf/sigmod/2011,None
conf/icalp/1990,None
conf/podc/2006,None
conf/tlca/1993,None
conf/cav/2012,None
conf/iticse/2015wgr,None
conf/e4mas/2004,None
conf/fpca/1991,None
conf/ht/2006,None
conf/esorics/2009,None
conf/cvpr/2012,None
conf/iopads/1999,None
conf/esop/1999,None
conf/eurocrypt/90,None
conf/sigcomm/1988,None
conf/sdm/2005,None
conf/concur/1996,None
conf/jsspp/1999,None
conf/podc/1989,None
conf/middleware/2008,None
conf/atal/1996,None
conf/issta/2010,None
conf/eccv/1998-1,None
conf/imc/2002,None
conf/concur/2004,None
conf/caise/2010fo,None
conf/esaw/2000,None
conf/kdd/2014adkdd,None
conf/aose/2001,None
conf/oopsla/2013onward,None
conf/pervasive/2008,None
conf/oopsla/2001,None
conf/chi/2015,None
conf/ih/1999,None
conf/eurosys/2006,None
conf/kdd/2013urbcomp,None
conf/focs/2013,None
conf/ecoop/2007,None
conf/caise/2005,None
conf/pods/2006,None
conf/www/2015,None
